"ID";"CNAE";"DESCRIPCION"
221;"2735";PRODUC. FERROALEACIONES NO CECA Y TRANSF. HIERRO Y ACERO
222;"2740";PRODUCC.Y PRIMERA TRANSF.METALES PRECIOSOS Y OTROS NO FERREOS
223;"2741";PRODUCCION Y PRIMERA TRANSFORMACION METALES PRECIOSOS
224;"2742";PRODUCCION Y PRIMERA TRANSFORMACION DE ALUMINIO
225;"2743";"PRODUCCION Y PRIMERA TRANSFORMACION DE PLOMO; CINC Y ESTAÑO"
226;"2744";PRODUCCION Y PRIMERA TRANSFORMACION DE COBRE
227;"2745";PRODUC. Y PRIMERA TRANSFORMACION DE OTROS METALES NO FERREOS
228;"2750";FUNDICION DE METALES
229;"2751";FUNDICION DE HIERRO
230;"2752";FUNDICION DE ACERO
231;"2753";FUNDICION DE METALES LIGEROS
232;"2754";FUNDICION DE OTROS METALES NO FERREOS
233;"2810";FABRICACION DE ELEMENTOS METALICOS PARA LA CONSTRUCCION
234;"2811";FABRICACION DE ESTRUCTURAS METALICAS Y SUS PARTES
235;"2812";FABRICACION DE CARPINTERIA METALICA
236;"2820";"FABRIC. DE CISTERNAS; GRANDES DEPOSITOS; RADIADORES;CALDERAS"
237;"2821";"FABRIC. CISTERNAS; GRANDES DEPOSITOS Y CONTENEDORES DE METAL"
238;"2822";FABRIC. DE RADIADORES Y CALDERAS PARA CALEFACCION CENTRAL
239;"2830";FABRICACION DE GENERADORES DE VAPOR
240;"2840";"FORJA; ESTAMPACION Y EMBUTICION DE METALES;METALURG.DE POLVO"
241;"2850";TRATAMIENTO Y REVESTIMIENTO DE METALES. INGENIERIA MECANICA
242;"2851";TRATAMIENTO Y REVESTIMIENTO DE METALES
243;"2852";INGENIERIA MECANICA GENERAL POR CUENTA DE TERCEROS
244;"2860";"FABRIC. ARTIC. DE CUCHILLERIA Y CUBERTERIA;HERRAM.;FERRETER."
245;"2861";FABRICACION DE ARTICULOS DE CUCHILLERIA Y CUBERTERIA
246;"2862";FAB. HERRAMIENTAS Y UTILES INTERCAMBIABLES MAQ. HERRAMIENTA.
247;"2863";FABRICACION DE CERRADURAS Y HERRAJES
248;"2870";"FABRICACION DE PRODUCTOS METALICOS DIVERSOS; EXCEPTO MUEBLES"
249;"2871";FABRICACION DE BIDONES Y TONELES DE HIERRO Y ACERO
250;"2872";"FABRICACION DE ENVASES Y EMBALAJES LIGEROS; EN METAL"
251;"2873";FABRICACION DE PRODUCTOS DE ALAMBRE
252;"2874";"FABRICACION DE PERNOS; TORNILLOS; CADENAS Y MUELLES"
